db,s(byte),sdb(byte),total time-server (s),fileToBufferTime (s),forLoopTime (s),getDataTime (s),sumMulTime (s),saveDataTime (s)
resources/10x1x8/,10,1048576,0.0333286,0,0,0,0,0
resources/10x1x8/,10,1048576,0.0333193,0,0,0,0,0
resources/10x1x8/,10,1048576,0.0321396,0,0,0,0,0
resources/10x1x8/,11,1333304,0.0441338,0,0,0,0,0
resources/10x1x8/,11,1333304,0.0498218,0,0,0,0,0
resources/10x1x8/,11,1333304,0.0436387,0,0,0,0,0
resources/10x1x8/,11,1333304,0.0418155,0,0,0,0,0
resources/10x1x8/,11,1333304,0.0419204,0,0,0,0,0
resources/10x1x8/,11,1333304,0.0444111,0,0,0,0,0
resources/10x1x8/,11,1333304,0.0427852,0,0,0,0,0
resources/104x1x1/,13,1333304,0.561515,0,0,0,0,0
resources/104x1x1/,13,1333304,0.56351,0,0,0,0,0
resources/104x1x1/,13,1333304,0.573772,0,0,0,0,0
resources/104x1x1/,13,1333304,0.593125,0,0,0,0,0
resources/104x1x1/,13,1333304,0.59539,0,0,0,0,0
resources/104x1x1/,13,1333304,0.63316,0,0,0,0,0
resources/104x1x1/,13,1333304,0.598803,0,0,0,0,0
resources/104x1x1/,13,1333304,0.62138,0,0,0,0,0
resources/104x1x1/,13,1333304,0.361946,0,0,0,0,0
resources/104x1x1/,13,1333304,0.358372,0,0,0,0,0
resources/104x1x1/,13,1333304,0.364988,0,0,0,0,0
resources/104x1x1/,13,1333304,0.353243,0,0,0,0,0
resources/104x1x1/,13,1333304,0.360421,0,0,0,0,0
resources/104x1x1/,13,1333304,0.357319,0,0,0,0,0
resources/104x1x1/,13,1333304,0.373853,0,0,0,0,0
resources/104x1x1/,13,1333304,0.368256,0,0,0,0,0
resources/104x1x1/,13,1333304,0.369098,0,0,0,0,0
resources/104x1x1/,13,1333304,0.360337,0,0,0,0,0
resources/104x1x1/,13,1333304,0.363137,0,0,0,0,0
resources/104x1x1/,13,1333304,0.358397,0,0,0,0,0
resources/104x1x1/,13,1333304,0.364085,0,0,0,0,0
resources/104x1x1/,13,1333304,0.35512,0,0,0,0,0
resources/104x1x1/,13,1333304,0.364215,0,0,0,0,0
resources/104x1x1/,13,1333304,0.393561,0,0,0,0,0
resources/104x1x1/,13,1333304,0.363883,0,0,0,0,0
resources/104x1x1/,13,1333304,0.365988,0,0,0,0,0
resources/104x1x1/,13,1333304,0.356609,0,0,0,0,0
resources/104x1x1/,13,1333304,0.351822,0,0,0,0,0
resources/104x1x1/,13,1333304,0.597938,0,0,0,0,0
resources/104x1x1/,13,1333304,0.356839,0,0,0,0,0
resources/104x1x1/,13,1333304,0.35289,0,0,0,0,0
resources/104x1x1/,13,1333304,0.6085,0,0,0,0,0
resources/104x1x1/,13,1333304,0.605928,0,0,0,0,0
resources/104x1x1/,13,1333304,0.629329,0,0,0,0,0
resources/104x1x1/,13,1333304,0.383075,0,0,0,0,0
resources/104x1x1/,13,1333304,0.241745,0,0,0,0,0
resources/104x1x1/,13,1333304,0.375069,0,0,0,0,0
resources/104x1x1/,13,1333304,0.25206,0,0,0,0,0
resources/104x1x1/,13,1333304,0.631426,0,0,0,0,0
resources/104x1x1/,13,1333304,0.361879,0,0,0,0,0
resources/104x1x1/,13,1333304,0.247267,0,0,0,0,0
resources/104x1x1/,13,1333304,0.359653,0,0,0,0,0
resources/104x1x1/,13,1333304,0.246497,0,0,0,0,0
resources/104x1x1/,13,1333304,0.358526,0,0,0,0,0
resources/104x1x1/,13,1333304,0.243915,0,0,0,0,0
resources/104x1x1/,13,1333304,0.368632,0,0,0,0,0
resources/104x1x1/,13,1333304,0.248351,0,0,0,0,0
resources/104x1x1/,13,1333304,0.392082,0,0,0,0,0
resources/104x1x1/,13,1333304,0.243567,0,0,0,0,0
resources/104x1x1/,13,1333304,0.359987,0,0,0,0,0
resources/104x1x1/,13,1333304,0.242561,0,0,0,0,0
resources/104x1x1/,13,1333304,0.366637,0,0,0,0,0
resources/104x1x1/,13,1333304,0.243691,0,0,0,0,0
resources/104x1x1/,13,1333304,0.591376,0,0,0,0,0
resources/104x1x1/,13,1333304,0.607762,0,0,0,0,0
resources/104x1x1/,13,1333304,0.359736,0,0,0,0,0
resources/104x1x1/,13,1333304,0.248926,0,0,0,0,0
resources/104x1x1/,13,1333304,0.356392,0,0,0,0,0
resources/104x1x1/,13,1333304,0.24436,0,0,0,0,0
resources/104x1x1/,13,1333304,0.35603,0,0,0,0,0
resources/104x1x1/,13,1333304,0.240424,0,0,0,0,0
resources/104x1x1/,13,1333304,0.362388,0,0,0,0,0
resources/104x1x1/,13,1333304,0.243732,0,0,0,0,0
resources/104x1x1/,13,1333304,0.350283,0,0,0,0,0
resources/104x1x1/,13,1333304,0.256977,0,0,0,0,0
resources/104x1x1/,13,1333304,0.355653,0,0,0,0,0
resources/104x1x1/,13,1333304,0.252483,0,0,0,0,0
resources/104x1x1/,13,1333304,0.379362,0,0,0,0,0
resources/104x1x1/,13,1333304,0.255133,0,0,0,0,0
resources/104x1x1/,13,1333304,0.353853,0,0,0,0,0
resources/104x1x1/,13,1333304,0.242243,0,0,0,0,0
resources/104x1x1/,13,1333304,0.365308,0,0,0,0,0
resources/104x1x1/,13,1333304,0.24555,0,0,0,0,0
resources/104x1x1/,13,1333304,0.351434,0,0,0,0,0
resources/104x1x1/,13,1333304,0.242479,0,0,0,0,0
resources/104x1x1/,13,1333304,0.354121,0,0,0,0,0
resources/104x1x1/,13,1333304,0.251605,0,0,0,0,0
resources/104x1x1/,13,1333304,0.352913,0,0,0,0,0
resources/104x1x1/,13,1333304,0.243756,0,0,0,0,0
resources/104x1x1/,13,1333304,0.353804,0,0,0,0,0
resources/104x1x1/,13,1333304,0.248943,0,0,0,0,0
resources/104x1x1/,13,1333304,0.349292,0,0,0,0,0
resources/104x1x1/,13,1333304,0.242798,0,0,0,0,0
resources/104x1x1/,13,1333304,0.346199,0,0,0,0,0
resources/104x1x1/,13,1333304,0.245845,0,0,0,0,0
resources/104x1x1/,13,1333304,0.352706,0,0,0,0,0
resources/104x1x1/,13,1333304,0.248973,0,0,0,0,0
resources/104x1x1/,13,1333304,0.364382,0,0,0,0,0
resources/104x1x1/,13,1333304,0.244981,0,0,0,0,0
resources/104x1x1/,13,1333304,0.356963,0,0,0,0,0
resources/104x1x1/,13,1333304,0.24927,0,0,0,0,0
resources/104x1x1/,13,1333304,0.352117,0,0,0,0,0
resources/104x1x1/,13,1333304,0.252167,0,0,0,0,0
resources/104x1x1/,13,1333304,0.351442,0,0,0,0,0
resources/104x1x1/,13,1333304,0.244126,0,0,0,0,0
resources/104x1x1/,13,1333304,0.35203,0,0,0,0,0
resources/104x1x1/,13,1333304,0.240909,0,0,0,0,0
resources/104x1x1/,13,1333304,0.356242,0,0,0,0,0
resources/104x1x1/,13,1333304,0.250271,0,0,0,0,0
resources/104x1x1/,13,1333304,0.353349,0,0,0,0,0
resources/104x1x1/,13,1333304,0.248208,0,0,0,0,0
resources/104x1x1/,13,1333304,0.360628,0,0,0,0,0
resources/104x1x1/,13,1333304,0.245215,0,0,0,0,0
resources/104x1x1/,13,1333304,0.352938,0,0,0,0,0
resources/104x1x1/,13,1333304,0.245656,0,0,0,0,0
resources/104x1x1/,13,1333304,0.350153,0,0,0,0,0
resources/104x1x1/,13,1333304,0.252685,0,0,0,0,0
resources/104x1x1/,13,1333304,0.361679,0,0,0,0,0
resources/104x1x1/,13,1333304,0.245962,0,0,0,0,0
resources/104x1x1/,13,1333304,0.353615,0,0,0,0,0
resources/104x1x1/,13,1333304,0.243588,0,0,0,0,0
resources/104x1x1/,13,1333304,0.353466,0,0,0,0,0
resources/104x1x1/,13,1333304,0.251997,0,0,0,0,0
resources/104x1x1/,13,1333304,0.360253,0,0,0,0,0
resources/104x1x1/,13,1333304,0.245967,0,0,0,0,0
resources/104x1x1/,13,1333304,0.356505,0,0,0,0,0
resources/104x1x1/,13,1333304,0.245668,0,0,0,0,0
resources/104x1x1/,13,1333304,0.360344,0,0,0,0,0
resources/104x1x1/,13,1333304,0.242777,0,0,0,0,0
resources/104x1x1/,13,1333304,0.349741,0,0,0,0,0
resources/104x1x1/,13,1333304,0.243369,0,0,0,0,0
resources/104x1x1/,13,1333304,0.356415,0,0,0,0,0
resources/104x1x1/,13,1333304,0.241815,0,0,0,0,0
resources/104x1x1/,13,1333304,0.352457,0,0,0,0,0
resources/104x1x1/,13,1333304,0.244371,0,0,0,0,0
resources/104x1x1/,13,1333304,0.354622,0,0,0,0,0
resources/104x1x1/,13,1333304,0.248171,0,0,0,0,0
resources/104x1x1/,13,1333304,0.354686,0,0,0,0,0
resources/104x1x1/,13,1333304,0.249911,0,0,0,0,0
resources/104x1x1/,13,1333304,0.373591,0,0,0,0,0
resources/104x1x1/,13,1333304,0.240947,0,0,0,0,0
resources/104x1x1/,13,1333304,0.360469,0,0,0,0,0
resources/104x1x1/,13,1333304,0.247929,0,0,0,0,0
resources/104x1x1/,13,1333304,0.398292,0,0,0,0,0
resources/104x1x1/,13,1333304,0.240551,0,0,0,0,0
resources/104x1x1/,13,1333304,0.379311,0,0,0,0,0
resources/104x1x1/,13,1333304,0.240577,0,0,0,0,0
resources/104x1x1/,13,1333304,0.387165,0,0,0,0,0
resources/104x1x1/,13,1333304,0.242044,0,0,0,0,0
resources/104x1x1/,13,1333304,0.385939,0,0,0,0,0
resources/104x1x1/,13,1333304,0.243715,0,0,0,0,0
resources/104x1x1/,13,1333304,0.384562,0,0,0,0,0
resources/104x1x1/,13,1333304,0.238785,0,0,0,0,0
resources/104x1x1/,13,1333304,0.37913,0,0,0,0,0
resources/104x1x1/,13,1333304,0.238407,0,0,0,0,0
resources/104x1x1/,13,1333304,0.3839,0,0,0,0,0
resources/104x1x1/,13,1333304,0.251379,0,0,0,0,0
resources/104x1x1/,13,1333304,0.382054,0,0,0,0,0
resources/104x1x1/,13,1333304,0.237877,0,0,0,0,0
resources/104x1x1/,13,1333304,0.39786,0,0,0,0,0
resources/104x1x1/,13,1333304,0.244468,0,0,0,0,0
resources/104x1x1/,13,1333304,0.389771,0,0,0,0,0
resources/104x1x1/,13,1333304,0.353253,0,0,0,0,0
resources/104x1x1/,13,1333304,0.349846,0,0,0,0,0
resources/104x1x1/,13,1333304,0.243621,0,0,0,0,0
resources/104x1x1/,13,1333304,0.239045,0,0,0,0,0
resources/104x1x1/,13,1333304,0.239504,0,0,0,0,0
resources/104x1x1/,13,1333304,0.385327,0,0,0,0,0
resources/104x1x1/,13,1333304,0.349917,0,0,0,0,0
resources/104x1x1/,13,1333304,0.376253,0,0,0,0,0
resources/104x1x1/,13,1333304,0.240821,0,0,0,0,0
resources/104x1x1/,13,1333304,0.383094,0,0,0,0,0
resources/104x1x1/,13,1333304,0.348451,0,0,0,0,0
resources/104x1x1/,13,1333304,0.345814,0,0,0,0,0
resources/104x1x1/,13,1333304,0.24054,0,0,0,0,0
resources/104x1x1/,13,1333304,0.243713,0,0,0,0,0
resources/104x1x1/,13,1333304,0.239354,0,0,0,0,0
resources/104x1x1/,13,1333304,0.398098,0,0,0,0,0
resources/104x1x1/,13,1333304,0.242344,0,0,0,0,0
resources/104x1x1/,13,1333304,0.38111,0,0,0,0,0
resources/104x1x1/,13,1333304,0.351967,0,0,0,0,0
resources/104x1x1/,13,1333304,0.345503,0,0,0,0,0
resources/104x1x1/,13,1333304,0.242536,0,0,0,0,0
resources/104x1x1/,13,1333304,0.236557,0,0,0,0,0
resources/104x1x1/,13,1333304,0.237405,0,0,0,0,0
resources/104x1x1/,13,1333304,0.359212,0,0,0,0,0
resources/104x1x1/,13,1333304,0.238619,0,0,0,0,0
resources/104x1x1/,13,1333304,0.459088,0,0,0,0,0
resources/104x1x1/,13,1333304,0.347148,0,0,0,0,0
resources/104x1x1/,13,1333304,0.347939,0,0,0,0,0
resources/104x1x1/,13,1333304,0.23715,0,0,0,0,0
resources/104x1x1/,13,1333304,0.235778,0,0,0,0,0
resources/104x1x1/,13,1333304,0.235626,0,0,0,0,0
resources/104x1x1/,13,1333304,0.375012,0,0,0,0,0
resources/104x1x1/,13,1333304,0.240718,0,0,0,0,0
resources/104x1x1/,13,1333304,0.378695,0,0,0,0,0
resources/104x1x1/,13,1333304,0.353308,0,0,0,0,0
resources/104x1x1/,13,1333304,0.349306,0,0,0,0,0
resources/104x1x1/,13,1333304,0.242655,0,0,0,0,0
resources/104x1x1/,13,1333304,0.23754,0,0,0,0,0
resources/104x1x1/,13,1333304,0.236286,0,0,0,0,0
resources/104x1x1/,13,1333304,0.36254,0,0,0,0,0
resources/104x1x1/,13,1333304,0.239923,0,0,0,0,0
resources/104x1x1/,13,1333304,0.366144,0,0,0,0,0
resources/104x1x1/,13,1333304,0.3477,0,0,0,0,0
resources/104x1x1/,13,1333304,0.345458,0,0,0,0,0
resources/104x1x1/,13,1333304,0.238524,0,0,0,0,0
resources/104x1x1/,13,1333304,0.235564,0,0,0,0,0
resources/104x1x1/,13,1333304,0.235376,0,0,0,0,0
resources/104x1x1/,13,1333304,0.354283,0,0,0,0,0
resources/104x1x1/,13,1333304,0.240141,0,0,0,0,0
resources/104x1x1/,13,1333304,0.388272,0,0,0,0,0
resources/104x1x1/,13,1333304,0.348992,0,0,0,0,0
resources/104x1x1/,13,1333304,0.366258,0,0,0,0,0
resources/104x1x1/,13,1333304,0.243124,0,0,0,0,0
resources/104x1x1/,13,1333304,0.249784,0,0,0,0,0
resources/104x1x1/,13,1333304,0.23879,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.54467,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.54346,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.53907,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.5428,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.54549,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.56938,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.58164,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.54849,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.54532,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.70856,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.57266,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61232,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61405,0,0,0,0,0
resources/3000x1x1/,375,1048576,0.811149,0,0,0,0,0
resources/3000x1x1/,375,1048576,0.742054,0,0,0,0,0
resources/104x1x1/,13,1333304,0.584424,0,0,0,0,0
resources/104x1x1/,13,1333304,0.577359,0,0,0,0,0
resources/104x1x1/,13,1333304,0.578841,0,0,0,0,0
resources/104x1x1/,13,1333304,0.577246,0,0,0,0,0
resources/104x1x1/,13,1333304,0.64663,0,0,0,0,0
resources/104x1x1/,13,1333304,0.609694,0,0,0,0,0
resources/104x1x1/,13,1333304,0.59545,0,0,0,0,0
resources/104x1x1/,13,1333304,0.597316,0,0,0,0,0
resources/104x1x1/,13,1333304,0.590373,0,0,0,0,0
resources/104x1x1/,13,1333304,0.604368,0,0,0,0,0
resources/104x1x1/,13,1333304,0.60134,0,0,0,0,0
resources/104x1x1/,13,1333304,0.594332,0,0,0,0,0
resources/104x1x1/,13,1333304,0.602743,0,0,0,0,0
resources/104x1x1/,13,1333304,0.617692,0,0,0,0,0
resources/104x1x1/,13,1333304,0.624002,0,0,0,0,0
resources/104x1x1/,13,1333304,0.592631,0,0,0,0,0
resources/104x1x1/,13,1333304,0.343724,0,0,0,0,0
resources/104x1x1/,13,1333304,0.235186,0,0,0,0,0
resources/104x1x1/,13,1333304,0.35474,0,0,0,0,0
resources/104x1x1/,13,1333304,0.342009,0,0,0,0,0
resources/104x1x1/,13,1333304,0.341713,0,0,0,0,0
resources/104x1x1/,13,1333304,0.235564,0,0,0,0,0
resources/104x1x1/,13,1333304,0.232195,0,0,0,0,0
resources/104x1x1/,13,1333304,0.233527,0,0,0,0,0
resources/104x1x1/,13,1333304,0.356022,0,0,0,0,0
resources/104x1x1/,13,1333304,0.236182,0,0,0,0,0
resources/104x1x1/,13,1333304,0.381821,0,0,0,0,0
resources/104x1x1/,13,1333304,0.345338,0,0,0,0,0
resources/104x1x1/,13,1333304,0.345364,0,0,0,0,0
resources/104x1x1/,13,1333304,0.234633,0,0,0,0,0
resources/104x1x1/,13,1333304,0.232399,0,0,0,0,0
resources/104x1x1/,13,1333304,0.233556,0,0,0,0,0
resources/104x1x1/,13,1333304,0.580118,0,0,0,0,0
resources/104x1x1/,13,1333304,0.595665,0,0,0,0,0
resources/104x1x1/,13,1333304,0.598775,0,0,0,0,0
resources/104x1x1/,13,1333304,0.589673,0,0,0,0,0
resources/104x1x1/,13,1333304,0.356444,0,0,0,0,0
resources/104x1x1/,13,1333304,0.344689,0,0,0,0,0
resources/104x1x1/,13,1333304,0.256117,0,0,0,0,0
resources/104x1x1/,13,1333304,0.237044,0,0,0,0,0
resources/104x1x1/,13,1333304,0.383851,0,0,0,0,0
resources/104x1x1/,13,1333304,0.348989,0,0,0,0,0
resources/104x1x1/,13,1333304,0.245324,0,0,0,0,0
resources/104x1x1/,13,1333304,0.240789,0,0,0,0,0
resources/104x1x1/,13,1333304,0.351711,0,0,0,0,0
resources/104x1x1/,13,1333304,0.23746,0,0,0,0,0
resources/104x1x1/,13,1333304,0.383149,0,0,0,0,0
resources/104x1x1/,13,1333304,0.348595,0,0,0,0,0
resources/104x1x1/,13,1333304,0.350383,0,0,0,0,0
resources/104x1x1/,13,1333304,0.238054,0,0,0,0,0
resources/104x1x1/,13,1333304,0.235619,0,0,0,0,0
resources/104x1x1/,13,1333304,0.238372,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60752,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.63333,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61025,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60481,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60757,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61303,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.6133,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60727,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.62485,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60943,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60766,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60784,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60153,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60789,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.62555,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60804,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60911,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.62421,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60295,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60297,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60443,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61071,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.62363,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61244,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60527,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.6189,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60339,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60138,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61436,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.63079,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.63924,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.6323,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61059,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61332,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60542,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60518,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61391,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60692,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60496,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.6115,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61111,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60595,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61263,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.62994,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60026,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60207,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.6096,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60951,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60675,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61682,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.6165,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.6044,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60398,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61392,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60718,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.62192,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60662,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.617,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61721,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.62407,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60672,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61372,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.6113,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61055,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60012,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60612,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61161,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.63435,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61782,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.6055,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61475,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60611,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.6018,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60804,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.6143,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60557,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61722,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60812,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.62445,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61151,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60887,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.6122,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60494,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60423,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.6103,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.59974,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60295,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60793,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.62412,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61571,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60145,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61173,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61487,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.62659,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60801,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60824,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60882,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.60409,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.6187,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.61787,0,0,0,0,0
