db,s(byte),sdb(byte),total time-server (s),fileToBufferTime (s),forLoopTime (s),getDataTime (s),sumMulTime (s),saveDataTime (s)
resources/10x1x8s/,16,64,6.3069e-05,5.2496e-05,9.678e-06,0,0,0
resources/10x1x32/,40,1048576,0.0576723,0.00522623,0.0524442,0,0,0
resources/10x1x64/,80,1048576,0.0274195,0.00311255,0.0243047,0,0,0
resources/10x1x64/,80,1048576,0.029739,0.00406534,0.0256717,0,0,0
resources/10x1x64/,80,1048576,0.0287843,0.00295494,0.0258264,0,0,0
resources/10x1x64/,80,1048576,0.0403951,0.00336839,0.0370247,0,0,0
resources/10x1x64/,80,1048576,0.0336732,0.00295892,0.0307096,0,0,0
resources/10x1x8s/,32,1048576,0.0629955,0.00635362,0.0566359,0,0,0
resources/10x1x8s/,32,1048576,0.0185034,0.00197604,0.0165247,0,0,0
resources/10x1x8s/,16,1048576,0.0327546,0.00564894,0.0271029,0,0,0
resources/10x1x8s/,16,64,0.00010067,7.7955e-05,1.8714e-05,0,0,0
resources/10x1x8s/,32,64,0.000135686,0.000103938,2.7308e-05,0,0,0
resources/10x1x8s/,32,64,5.1399e-05,4.6282e-05,3.987e-06,0,0,0
resources/10x1x8s/,32,64,6.2457e-05,5.6619e-05,4.778e-06,0,0,0
resources/10x1x8s/,32,64,0.000147725,0.00011409,2.8439e-05,0,0,0
resources/10x1x8s/,32,64,0.000182829,0.000119807,5.7861e-05,0,0,0
resources/10x1x8s/,32,64,0.000150245,8.0655e-05,6.6205e-05,0,0,0
resources/10x1x8s/,32,64,7.0391e-05,4.633e-05,2.283e-05,0,0,0
resources/10x1x8s/,32,64,0.000177133,8.9902e-05,8.333e-05,0,0,0
resources/10x1x8s/,32,64,5.5134e-05,3.9813e-05,1.4102e-05,0,0,0
resources/10x1x8s/,32,64,8.6354e-05,5.0181e-05,3.4262e-05,0,0,0
resources/10x1x8s/,32,64,0.000239847,0.000136552,9.8485e-05,0,0,0
resources/10x1x8s/,16,64,6.7972e-05,5.5141e-05,1.1917e-05,0,0,0
resources/10x1x8s/,32,64,8.6757e-05,6.7773e-05,1.7832e-05,0,0,0
resources/10x1x8s/,32,64,5.1506e-05,3.6524e-05,1.4005e-05,0,0,0
resources/10x1x8s/,32,64,0.000198016,0.000115391,7.7839e-05,0,0,0
resources/10x1x8s/,32,64,0.000210961,0.00018522,2.4048e-05,0,0,0
resources/10x1x8s/,16,64,4.6001e-05,3.6937e-05,8.243e-06,0,0,0
resources/10x1x8s/,8,64,0.000180329,9.8595e-05,7.6731e-05,0,0,0
resources/10x1x8s/,4,64,0.000260509,0.000105321,0.000149889,0,0,0
resources/10x1x8/,10,1048576,1.94786,0.00461696,1.94324,0,0,0
resources/10x1x8/,10,1048576,0.177818,0.00556364,0.172252,0,0,0
resources/10x1x64/,80,1048576,0.587712,0.00523751,0.582473,0,0,0
resources/10x1x32/,40,1048576,0.0527756,0.00494044,0.0478333,0,0,0
resources/10x1x16/,20,1048576,0.100256,0.00603488,0.0942194,0,0,0
resources/100x1x8/,100,1048576,2.62214,1.18494,1.4372,0,0,0
resources/100x1x16/,200,1048576,0.805739,0.0548027,0.750935,0,0,0
resources/100x1x32/,400,1048576,0.451436,0.0601617,0.391273,0,0,0
resources/100x1x64/,800,1048576,5.78139,0.0830825,5.6983,0,0,0
resources/100x1x64/,800,1048576,0.280825,0.0775621,0.203259,0,0,0
resources/100x1x8/,100,1048576,1.43788,0.0458424,1.39203,0,0,0
resources/100x1x8/,100,1048576,2.76833,1.33417,1.43415,0,0,0
resources/100x1x8/,100,1048576,1.55669,0.160858,1.39583,0,0,0
resources/100x1x8/,100,1048576,1.43929,0.0322762,1.40701,0,0,0
resources/100x1x8/,100,1048576,1.48351,0.0595002,1.42401,0,0,0
resources/100x1x8/,100,1048576,1.47334,0.0565746,1.41677,0,0,0
resources/100x1x16/,200,1048576,1.93911,1.18471,0.7544,0,0,0
resources/100x1x16/,200,1048576,0.805418,0.0601402,0.745275,0,0,0
resources/100x1x16/,200,1048576,0.78499,0.0481459,0.736842,0,0,0
resources/100x1x16/,200,1048576,0.768899,0.0462874,0.722609,0,0,0
resources/100x1x32/,400,1048576,1.54395,1.14148,0.402459,0,0,0
resources/100x1x32/,400,1048576,0.431728,0.0521555,0.37957,0,0,0
resources/100x1x32/,400,1048576,0.441698,0.050432,0.391264,0,0,0
resources/100x1x32/,400,1048576,0.452388,0.0550492,0.397337,0,0,0
resources/100x1x64/,800,1048576,1.32145,1.10261,0.218833,0,0,0
resources/100x1x64/,800,1048576,0.264961,0.0628821,0.202076,0,0,0
resources/100x1x64/,800,1048576,0.280125,0.0714704,0.20865,0,0,0
resources/100x1x64/,800,1048576,0.243034,0.0468639,0.196168,0,0,0
resources/100x1x64/,800,1048576,1.54133,1.31604,0.225288,0,0,0
